id1;id2;data_source;points;50km;20km;10km;5km;zone;X;Y
V22;V22;Vanavara 2022;V22;0,955;0,962;0,942;0,906;taiga;102.3304;60.35765
V23;V23;Vanavara 2022;V23;0,955;0,962;0,942;0,906;taiga;102.3322;60.35756
V25;V25;Vanavara 2022;V25;0,955;0,963;0,944;0,911;taiga;102.3412;60.35786
V26(1);V26(1);Vanavara 2022;V26(1);0,967;0,974;0,96;0,922;taiga;102.807733;60.394417
V28;V28;Vanavara 2022;V28;0,967;0,974;0,96;0,922;taiga;101.821517;60.393583
YKT1;YKT1;Yakutsk 2022;YKT1;0,641;0,504;0,513;0,441;taiga;129.6938;62.19176
OZ2;OZ2;Vanavara 2022;OZ2;0,934;0,971;0,988;0,995;taiga;101.7326;60.52890
OZ3;OZ3;Vanavara 2022;OZ3;0,934;0,971;0,988;0,995;taiga;101.731734;60.529875
OZ5;OZ5;Vanavara 2022;OZ5;0,934;0,971;0,988;0,995;taiga;101.718608;60.528772
OZ6;OZ6;Vanavara 2022;OZ6;0,934;0,971;0,988;0,995;taiga;101.717031;60.528025
OZ9;OZ9;Vanavara 2022;OZ9;0,934;0,971;0,988;0,995;taiga;101.733026;60.528491
OZ13;OZ13;Vanavara 2022;OZ13;0,934;0,971;0,988;0,995;taiga;101.729341;60.525074
OZ14;OZ14;Vanavara 2022;OZ14;0,934;0,971;0,988;0,995;taiga;101.731699;60.524325
OZ19;OZ19;Vanavara 2022;OZ19;0,934;0,971;0,988;0,995;taiga;101.723277;60.532436
OZ20;OZ20;Vanavara 2022;OZ20;0,934;0,971;0,988;0,995;taiga;101.722333;60.531653
OZ21;OZ21;Vanavara 2022;OZ21;0,934;0,971;0,988;0,995;taiga;101.723213;60.533197
OZ22;OZ22;Vanavara 2022;OZ22;0,934;0,971;0,988;0,995;taiga;101.718653;60.531225
OZ23;OZ23;Vanavara 2022;OZ23;0,934;0,971;0,988;0,995;taiga;101.727054;60.533313
OZ24;OZ24;Vanavara 2022;OZ24;0,934;0,971;0,988;0,995;taiga;101.723757;60.531013
